rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
243,frame_0104.jpg,41.6,0.3493,0.4105,0.4,0.12,6,4,False,False
244,frame_0324.jpg,129.6,0.339,0.466,0.3,0.08,8,3,False,False
245,frame_0311.jpg,124.4,0.3209,0.4458,0.3,0.04,7,3,False,False
246,frame_0220.jpg,88.0,0.318,0.464,0.1,0.28,5,1,False,False
247,frame_0190.jpg,76.0,0.3092,0.3904,0.3,0.12,7,3,False,False
248,frame_0091.jpg,36.4,0.3067,0.3655,0.2,0.32,5,2,False,False
249,frame_0271.jpg,108.4,0.3065,0.4769,0.2,0.04,6,2,False,False
250,frame_0198.jpg,79.2,0.2973,0.4185,0.0,0.44,3,0,False,False
251,frame_0199.jpg,79.6,0.2952,0.2784,0.2,0.48,3,2,False,False
252,frame_0181.jpg,72.4,0.2901,0.3842,0.3,0.04,6,3,False,False
253,frame_0200.jpg,80.0,0.2714,0.2749,0.1,0.52,3,1,False,False
254,frame_0197.jpg,78.8,0.271,0.3219,0.1,0.4,2,1,False,False
255,frame_0110.jpg,44.0,0.2486,0.3292,0.2,0.12,6,2,False,False
256,frame_0313.jpg,125.2,0.1892,0.3024,0.1,0.04,5,1,False,False
